Date,Price,Open,High,Low,Change %
12/16/2021,"8,856.10","8,820.45","8,895.78","8,811.09",0.42%
12/15/2021,"8,819.12","8,842.18","8,853.08","8,782.72",-0.26%
12/14/2021,"8,841.70","8,937.37","8,938.21","8,820.82",-1.05%
12/13/2021,"8,935.16","8,971.82","9,003.97","8,930.23",-0.40%
12/12/2021,"8,971.38","8,882.11","9,003.40","8,855.59",0.99%
12/09/2021,"8,883.00","8,954.55","8,991.57","8,872.76",-0.79%
12/08/2021,"8,953.95","8,983.16","9,076.96","8,931.14",-0.33%
12/07/2021,"8,983.16","8,999.32","9,062.28","8,957.45",-0.18%
12/06/2021,"8,999.32","8,770.21","9,031.38","8,762.90",2.59%
12/05/2021,"8,772.45","8,546.47","8,822.77","8,546.47",2.64%
11/30/2021,"8,546.52","8,471.22","8,560.69","8,430.06",0.80%
11/29/2021,"8,478.60","8,298.15","8,499.11","8,296.14",2.15%
11/28/2021,"8,299.94","8,445.88","8,445.88","8,183.72",-1.82%
11/25/2021,"8,453.96","8,398.38","8,460.54","8,387.91",0.66%
11/24/2021,"8,398.31","8,410.30","8,440.00","8,370.54",-0.11%
11/23/2021,"8,407.52","8,345.56","8,407.52","8,282.20",0.75%
11/22/2021,"8,344.66","8,336.49","8,403.45","8,296.58",0.10%
11/21/2021,"8,336.49","8,349.55","8,360.45","8,320.96",-0.15%
11/18/2021,"8,349.25","8,337.69","8,349.97","8,291.81",0.14%
11/17/2021,"8,337.69","8,352.95","8,357.31","8,289.85",-0.17%
11/16/2021,"8,352.06","8,269.42","8,352.21","8,235.73",1.00%
11/15/2021,"8,269.42","8,296.19","8,299.55","8,214.09",-0.32%
11/14/2021,"8,296.19","8,286.51","8,320.15","8,266.74",0.13%
11/11/2021,"8,285.62","8,230.48","8,285.99","8,198.43",0.67%
11/10/2021,"8,230.48","8,196.10","8,231.02","8,184.84",0.42%
11/09/2021,"8,196.10","8,181.96","8,201.44","8,155.28",0.17%
11/08/2021,"8,181.96","8,093.25","8,238.50","8,093.25",1.09%
11/07/2021,"8,093.71","8,015.79","8,094.07","8,002.00",0.98%
11/04/2021,"8,014.90","7,968.50","8,036.84","7,966.30",0.61%
11/03/2021,"7,966.40","7,976.54","8,016.98","7,942.20",-0.13%
11/02/2021,"7,977.00","7,924.65","7,987.42","7,906.67",0.66%
11/01/2021,"7,924.65","7,866.53","7,944.82","7,854.20",0.76%
10/31/2021,"7,865.12","7,871.63","7,908.05","7,858.64",-0.09%
10/28/2021,"7,872.55","7,853.70","7,916.28","7,851.23",0.24%
10/27/2021,"7,853.70","7,902.98","7,929.87","7,851.66",-0.62%
10/26/2021,"7,902.98","7,934.79","7,955.54","7,902.83",-0.39%
10/25/2021,"7,933.87","7,949.44","7,966.58","7,905.30",-0.20%
10/24/2021,"7,949.44","7,876.23","7,950.01","7,876.23",0.93%
10/20/2021,"7,876.28","7,888.41","7,894.28","7,867.27",-0.15%
10/19/2021,"7,888.41","7,893.01","7,897.87","7,858.64",-0.06%
10/18/2021,"7,893.00","7,834.71","7,893.00","7,821.13",0.74%
10/17/2021,"7,834.71","7,811.60","7,846.15","7,811.60",0.30%
10/14/2021,"7,811.60","7,786.02","7,827.01","7,770.69",0.33%
10/13/2021,"7,786.29","7,787.35","7,792.81","7,772.67",-0.01%
10/12/2021,"7,786.89","7,783.44","7,797.06","7,731.72",0.06%
10/11/2021,"7,782.54","7,730.02","7,808.24","7,729.24",0.68%
10/10/2021,"7,730.02","7,709.80","7,734.61","7,692.21",0.27%
10/07/2021,"7,709.35","7,653.76","7,709.59","7,643.64",0.71%
10/06/2021,"7,654.83","7,688.54","7,705.56","7,654.34",-0.44%
10/05/2021,"7,688.54","7,697.31","7,697.31","7,658.19",-0.13%
10/04/2021,"7,698.26","7,719.72","7,725.10","7,674.83",-0.27%
